#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780140053203   6   PENGUIN   PENGUIN USA   Steinbeck, John   NO RIGHTS             BCK NR
9780140053388   4.5   PENGUIN   PENGUIN UK   Wyndham, John   OUT OF PRINT          BCK OP
9780140053975   6.99   PENGUIN   PENGUIN UK   Sontag, Susan   OUT OF PRINT          BCK OP
9780140054347   6.99   PENGUIN   PENGUIN UK   Hardwick, Eilzabeth   OUT OF PRINT          BCK OP
0140054558   125   PENGUIN   PENGUIN INDIA   Seth, Vikram   NO RIGHTS             BCK NR
9780140055931   5.6   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
9780140056174   6.3   PENGUIN   PENGUIN UK   Naipaul, S   OUT OF PRINT          BCK OP
9780140056556   5.6   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140057089   2.5   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140057102   3.25   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140057393   2.99   PENGUIN CLASSICS   PENGUIN UK   Highsmith, Patricia   OUT OF PRINT          BCK OP
9780140057577   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140058079   8.99   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140058550   2.5   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140058611   4.99   PENGUIN   PENGUIN UK   Unsworth, Barry   OUT OF PRINT          BCK OP
9780140058727   1.99   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140058734   3.25   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140058871   350   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140058963   5.99   PENGUIN   PENGUIN UK   Burgess, Anthony   OUT OF PRINT          BCK OP
9780140059038   350   PENGUIN   PENGUIN INDIA   Wodehouse, P.G.   OUT OF PRINT          BCK OP
0140059032   7.75   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140059250   4.99   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
9780140059632   6.5   PENGUIN   PENGUIN UK   Burgess, Anthony   OUT OF PRINT          BCK OP
9780140060287   4.99   PENGUIN   PENGUIN UK   Wiesel, Elie   OUT OF PRINT          BCK OP
9780140061109   4   PENGUIN   PENGUIN UK   Coetzee, J M   OUT OF PRINT          BCK OP
9780140061185   4.99   PENGUIN   PENGUIN UK   Lively, P   OUT OF PRINT          BCK OP
9780140061406   4.99   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
9780140061604   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140062144   5.6   PENGUIN   PENGUIN UK   Lodge, D   OUT OF PRINT          BCK OP
9780140062281   3.99   PENGUIN   PENGUIN UK   Coetzee, J M   OUT OF PRINT          BCK OP
0140062289   8.5   PENGUIN   PENGUIN USA   Coetzee, J M   NO RIGHTS             BCK NR
9780140062397   6.3   PENGUIN   PENGUIN UK   Young, Gavin   OUT OF PRINT          BCK OP
9780140062526   4.99   PENGUIN   PENGUIN UK   Bellow,  Saul   OUT OF PRINT          BCK OP
9780140062533   13.5   PENGUIN   PENGUIN UK   Hofstadter, D R   OUT OF PRINT          BCK OP
9780140062557   4.99   PENGUIN   PENGUIN UK   Roth, Philip   OUT OF PRINT          BCK OP
9780140063875   4.5   PENGUIN   PENGUIN UK   Conran, S   OUT OF PRINT          BCK OP
9780140063899   2.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140063929   2.99   PENGUIN   PENGUIN UK   Jerome, Jerome K   OUT OF PRINT          BCK OP
9780140064322   3.99   PENGUIN   PENGUIN UK   Conan Doyle, Arthur   OUT OF PRINT          BCK OP
9780140065275   5.6   PENGUIN   PENGUIN UK   Forster, E M   OUT OF PRINT          BCK OP
9780140065596   4.99   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
9780140065718   350   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140066234   18   PENGUIN   PENGUIN UK   Norwich, John J   OUT OF PRINT          BCK OP
0140066258   4.99   PENGUIN   PENGUIN UK   Gandhi, M K   OUT OF PRINT          BCK OP
9780140066265   6.99   PENGUIN   PENGUIN UK   Gandhi, M K   OUT OF PRINT          BCK OP
0140066942   3.99   PENGUIN   PENGUIN UK   Dahl, Roald   OUT OF PRINT          BCK OP
9780140066951   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140067378   6.3   PENGUIN   PENGUIN UK   Gordimer, Nadine   OUT OF PRINT          BCK OP
9780140067460   5   PENGUIN   PENGUIN UK   Burgess, Anthony   OUT OF PRINT          BCK OP
9780140068603   6.3   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140068856   8   PENGUIN CLASSICS   PENGUIN UK   Renault, Mary   OUT OF PRINT          BCK OP
9780140069242   5.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140069259   4.5   PENGUIN   PENGUIN UK   Gray, A   OUT OF PRINT          BCK OP
9780140069280   4.5   PENGUIN CLASSICS   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140069723   3.99   PENGUIN   PENGUIN UK   Rcaf   NO RIGHTS             BCK NR
9780140069969   4.99   PENGUIN   PENGUIN UK   Lively, P   OUT OF PRINT          BCK OP
9780140069990   4.5   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140070019   4.99   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140070026   4.99   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140070477   2   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140070484   3.99   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
