#ISBN   #PRICE   #IMPRINT   #TITLE   #AUTHOR   #Description
9780140071221   7.75   PENGUIN   PENGUIN UK   Solyhenitsyn, Alexandar   OUT OF PRINT          BCK OP
9780140071238   7   PENGUIN   PENGUIN UK   Solzhenitsyn, Alexander   OUT OF PRINT          BCK OP
9780140071719   6.99   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140071955   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140072051   2.99   PENGUIN   PENGUIN UK   Mikes, George   OUT OF PRINT          BCK OP
9780140073485   8   PENGUIN   PENGUIN UK   Kitzinger, Sheila   OUT OF PRINT          BCK OP
9780140073515   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140073959   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140074482   8.5   PENGUIN   PENGUIN USA   Coetzee, J. M.   NO RIGHTS             BCK NR
0140075682   10.5   PENGUIN   PENGUIN USA      NOT AVL FOR BILLING   BCK NAB
9780140075960   350   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140076028   11.99   PENGUIN   PENGUIN UK   Graves, Robert   OUT OF PRINT          BCK OP
9780140076073   4.5   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140076097   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140076127   3.99   PENGUIN   PENGUIN UK   Malouf, D   OUT OF PRINT          BCK OP
9780140076677   6.99   PENGUIN   PENGUIN UK   Hiron, M   OUT OF PRINT          BCK OP
9780140076691   11.99   PENGUIN   PENGUIN USA      NOT AVL FOR BILLING   BCK NAB
0140076697   6.99   PENGUIN CLASSICS   PENGUIN UK   Paprott, E O   NOT AVL FOR BILLING   BCK NAB
9780140076981   4.99   PENGUIN   PENGUIN USA   Winn Marie   OUT OF PRINT          BCK OP
9780140077155   5.99   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140077605   4   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140079074   4.99   PENGUIN   PENGUIN UK   Green, R L   OUT OF PRINT          BCK OP
9780140079678   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140080254   6.3   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140080292   4.5   PENGUIN   PENGUIN UK   Wells, D G (Ed.)   OUT OF PRINT          BCK OP
9780140080513   4   PENGUIN   PENGUIN UK   Jhabvala, Ruth Pravar   OUT OF PRINT          BCK OP
9780140080797   295   PENGUIN   PENGUIN INDIA   Wodehouse, P.G.   NO RIGHTS             BCK NR
9780140080803   295   PENGUIN   PENGUIN INDIA   Wodehouse, P.G.   NO RIGHTS             BCK NR
9780140081060   2.99   PENGUIN   PENGUIN UK   Conran, S   OUT OF PRINT          BCK OP
9780140081336   4.99   PENGUIN   PENGUIN UK   Lessing, Doris   OUT OF PRINT          BCK OP
9780140081442   500   PENGUIN   PENGUIN UK   Michell, George   OUT OF PRINT          BCK OP
9780140081534   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140082562   1.99   PENGUIN   PENGUIN UK   Chesterton, G K   OUT OF PRINT          BCK OP
9780140082579   3.99   PENGUIN   PENGUIN UK   Chesterton, G K   OUT OF PRINT          BCK OP
9780140082586   3   PENGUIN   PENGUIN UK   Chesterton, G K   OUT OF PRINT          BCK OP
9780140083101   2.99   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140083798   4.99   PENGUIN   PENGUIN UK      OUT OF PRINT          BCK OP
9780140084252   15   PENGUIN   PENGUIN UK   Davies, P   OUT OF PRINT          BCK OP
9780140084351   4.5   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140084474   6.99   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140085051   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140085068   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140085075   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140085204   4.99   PENGUIN   PENGUIN UK   Saussy, George Stone (Ed.)   OUT OF PRINT          BCK OP
9780140086126   6.99   PENGUIN   PENGUIN UK   Churchill, Winston   OUT OF PRINT          BCK OP
9780140086157   5.99   PENGUIN   PENGUIN UK   Churchill, Winston S   OUT OF PRINT          BCK OP
9780140086164   6.99   PENGUIN   PENGUIN UK   Churchill, Winston   OUT OF PRINT          BCK OP
9780140086256   4.99   PENG TCC CLASSICS   PENGUIN UK   Nabokov, Vladimir   OUT OF PRINT          BCK OP
9780140086287   6.5   PENG TCC CLASSICS   PENGUIN UK   Camus, Albert   OUT OF PRINT          BCK OP
9780140086362   4.5   PENGUIN   PENGUIN UK   Vine, Barbara   OUT OF PRINT          BCK OP
0140086460   0   PENG TCC CLASSICS   PENGUIN UK   Stevenson, Robert Louis   OUT OF PRINT          BCK OP
9780140086874   3.99   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140086966   4   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
9780140087192   4.99   PENGUIN CLASSICS   PENGUIN UK   Weis, M & Hick, M   OUT OF PRINT          BCK OP
9780140087925   4.99   PENGUIN   PENGUIN UK   Theroux, Paul   OUT OF PRINT          BCK OP
9780140088175   3.99   PENGUIN   PENGUIN UK   Crispin, Edmund   OUT OF PRINT          BCK OP
9780140089301   8.99   PENGUIN   PENGUIN UK   Bull, George   OUT OF PRINT          BCK OP
9780140089585   699   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140089592   4.5   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140091076   4.99   PENGUIN   PENGUIN UK   Parkinson, C N   OUT OF PRINT          BCK OP
9780140091120   6.99   PENGUIN   PENGUIN UK   Ansoff, Igor   OUT OF PRINT          BCK OP
9780140091151   4.99   PENGUIN   PENGUIN UK   Pascale, R & Athos, A   OUT OF PRINT          BCK OP
9780140091205   5.99   PENGUIN   PENGUIN UK   Moore, P G & Thomas, H   OUT OF PRINT          BCK OP
9780140091267   7.99   PENGUIN   PENGUIN UK   Sizer, J   OUT OF PRINT          BCK OP
9780140091519   7.99   PENGUIN   PENGUIN UK   Vroom, V H & Deci, E L   OUT OF PRINT          BCK OP
9780140092677   6.5   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140092684   4.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140093513   5.99   PENGUIN   PENGUIN UK   Kitzinger, Sheila   OUT OF PRINT          BCK OP
9780140093674   8.5   PENGUIN   PENGUIN USA   Walmsley, Jane   OUT OF PRINT          BCK OP
9780140094381   9.95   PENGUIN   PENGUIN USA   Postman, Neil   REPRINT UNDER CONSI Y BCK RPU
9780140094732   7.99   PENGUIN   PENGUIN USA      OUT OF PRINT          BCK OP
9780140095128   7.75   PENGUIN   PENGUIN UK   Thesiger, W   OUT OF PRINT          BCK OP
9780140095142   7.75   PENGUIN   PENGUIN UK   Thesiger, W   OUT OF PRINT          BCK OP
9780140095210   3.99   PENGUIN   PENGUIN UK   Lawernce, D H   OUT OF PRINT          BCK OP
9780140095272   6.3   PENGUIN   PENGUIN UK   Wood, H   OUT OF PRINT          BCK OP
0140095691   4.5   PENGUIN   PENGUIN UK   Camerion, James   NOT AVL FOR BILLING   BCK NAB
9780140095951   4.99   PENGUIN   PENGUIN UK   Pye Smith, C   NO RIGHTS             BCK NR
9780140096613   8.5   PENGUIN   PENGUIN UK   Ellmann, R   OUT OF PRINT          BCK OP
9780140097702   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140098020   3.25   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
0140098028   0   PENGUIN   PENGUIN UK   Dahl, Roald   NO RIGHTS             BCK NR
9780140098037   2.8   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140098044   3.25   PENGUIN   PENGUIN UK   Cash, Alan   OUT OF PRINT          BCK OP
9780140098631   5.99   PENGUIN   PENGUIN UK   Irwin, Robert   OUT OF PRINT          BCK OP
9780140098860   5.6   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140099515   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140099522   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140099898   5.6   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140099904   5.6   PENGUIN   PENGUIN UK   Theroux,  Paul   OUT OF PRINT          BCK OP
9780140100082   19.75   PENGUIN   PENGUIN USA   Page, Michael And Ingpen, Robert   OUT OF PRINT          BCK OP
9780140100655   3.99   PENGUIN   PENGUIN UK   Frater, Alexander   OUT OF PRINT          BCK OP
9780140101065   7.75   PENGUIN   PENGUIN UK   Mikes, George   OUT OF PRINT          BCK OP
9780140101331   4.99   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140101683   5.6   PENGUIN   PENGUIN UK   Drabble, Margaret   OUT OF PRINT          BCK OP
9780140102178   5.99   PENGUIN   PENGUIN UK   Sartre, Jean-Paul  & Leeson, Sylvia   OUT OF PRINT          BCK OP
9780140103069   399   PENGUIN   PENGUIN UK   Dahl, Roald   OUT OF PRINT          BCK OP
9780140103113   4.5   PENGUIN   PENGUIN UK   Durrell, Gerald   OUT OF PRINT          BCK OP
9780140103144   4.99   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140103151   4   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140103366   4.5   PENGUIN   PENGUIN UK   Turow, Scott   OUT OF PRINT          BCK OP
9780140103403   60   PENGUIN   PENGUIN INDIA   Moraes, Dom   OUT OF PRINT          BCK OP
9780140103465   0   PENGUIN   PENGUIN INDIA   Vaid, Krishna Baldev   NO RIGHTS             BCK NR
9780140103731   6.99   PENGUIN   PENGUIN UK   Stevenson, A   OUT OF PRINT          BCK OP
9780140104332   4   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140104349   3.99   PENGUIN   PENGUIN UK   Amis, Kingsley   OUT OF PRINT          BCK OP
9780140104691   5.99   PENGUIN   PENGUIN UK   Bergman, Ingmar   OUT OF PRINT          BCK OP
9780140104707   4.5   PENGUIN   PENGUIN UK   Murdoch, Iris   OUT OF PRINT          BCK OP
0140104801   250   PENGUIN   PENGUIN UK   Tully, Mark   NO RIGHTS             BCK NR
9780140104981   3.99   PENGUIN   PENGUIN UK   Mortimer, John   NO RIGHTS             BCK NR
9780140105162   250   PENGUIN   PENGUIN INDIA   Frater, Alexander   NO RIGHTS             BCK NR
9780140105193   4.99   PENGUIN   PENGUIN UK   Jhabvala, Ruth Pravar   OUT OF PRINT          BCK OP
9780140105735   4.5   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140106398   5.6   PENGUIN   PENGUIN UK   Williams, Tennessee   OUT OF PRINT          BCK OP
9780140106497   15   PENGUIN   PENGUIN USA   Austen, Jane   NO RIGHTS             BCK NR
9780140106848   4.99   PENGUIN   PENGUIN UK   Nabokov, Vladimir   OUT OF PRINT          BCK OP
9780140106992   350   PENGUIN   PENGUIN UK   Boyd, William   OUT OF PRINT          BCK OP
9780140107494   4.99   PENGUIN   PENGUIN UK   Trevor, William   OUT OF PRINT          BCK OP
9780140107807   200   PENGUIN   PENGUIN INDIA   Gandhi, Rajmohan   OUT OF PRINT          BCK OP
9780140107838   150   PUFFIN   PENGUIN INDIA   Bond, Ruskin   OUT OF PRINT          BCK OP
9780140107852   125   PENGUIN   PENGUIN INDIA   Abraham, Abu   NO RIGHTS             BCK NR
9780140107906   85   PENGUIN   PENGUIN INDIA   Premchand   NO RIGHTS             BCK NR
9780140107937   200   PENGUIN   PENGUIN INDIA   Gour, Neelum Saran   NO RIGHTS             BCK NR
9780140108248   6   PENGUIN   PENGUIN UK   Burgess, Anthony   OUT OF PRINT          BCK OP
0140108399   3.99   PENGUIN CLASSICS   PENGUIN UK   Desai, Anita   NOT AVL FOR BILLING   BCK NAB
9780140108590   4.99   PENGUIN   PENGUIN UK   Desai, Anita   OUT OF PRINT          BCK OP
9780140108989   4.99   PENGUIN   PENGUIN UK   Chandler, Raymond   OUT OF PRINT          BCK OP
9780140108996   4.99   PENGUIN   PENGUIN UK   Chandler, Raymond   OUT OF PRINT          BCK OP
9780140109603   2   PENGUIN   PENGUIN UK   Desmend, Milligam   OUT OF PRINT          BCK OP
9780140109641   4.99   PENGUIN   PENGUIN UK   Thomas, Leslie   OUT OF PRINT          BCK OP
9780140109917   5.6   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140111316   4.99   PENGUIN   PENGUIN UK   Milligan, Spike   OUT OF PRINT          BCK OP
9780140111606   5.6   PENGUIN   PENGUIN UK   Forster, E M   OUT OF PRINT          BCK OP
9780140112214   200   PENGUIN   PENGUIN INDIA   Ray, Satyajit   OUT OF PRINT          BCK OP
9780140112450   8.5   PENGUIN   PENGUIN USA   Barthelme, Donald   OUT OF PRINT          BCK OP
9780140112658   5.6   PENGUIN   PENGUIN UK   Dunnett, D   OUT OF PRINT          BCK OP
9780140113419   21.99   PENGUIN   PENGUIN USA   Keegan, John.   OUT OF PRINT          BCK OP
9780140113594   5.6   PENGUIN   PENGUIN UK   Dunnett, D   OUT OF PRINT          BCK OP
9780140113631   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140113648   7.99   PENGUIN   PENGUIN UK   Ellmann, Richard   OUT OF PRINT          BCK OP
9780140113877   5.6   PENGUIN   PENGUIN UK   Nabokov, Vladimir   OUT OF PRINT          BCK OP
9780140113914   6.3   PENGUIN   PENGUIN UK   Dunnett, D   OUT OF PRINT          BCK OP
9780140114331   4.99   PENGUIN   PENGUIN UK   Davies, Robertson   OUT OF PRINT          BCK OP
9780140114645   45   PENGUIN   PENGUIN INDIA   Mason   NO RIGHTS             BCK NR
9780140114676   3.99   PENGUIN   PENGUIN UK   Kerr, Philip   OUT OF PRINT          BCK OP
9780140114690   6.99   PENGUIN   PENGUIN UK   Pavic, Milorad   OUT OF PRINT          BCK OP
9780140114775   295   PENGUIN   PENGUIN INDIA   Sahni, Bhisham   OUT OF PRINT          BCK OP
9780140114942   3.99   PENGUIN   PENGUIN UK   Naipaul, V S   OUT OF PRINT          BCK OP
9780140115130   5.99   PENGUIN   PENGUIN UK   Fermor, Patrick Leigh   OUT OF PRINT          BCK OP
9780140115710   5.99   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140116106   4.99   PENGUIN   PENGUIN UK   Hollinghrust, A   OUT OF PRINT          BCK OP
9780140116649   250   PENGUIN   PENGUIN INDIA   Varma, Pavan K.   OUT OF PRINT          BCK OP
9780140116656   11.25   PENGUIN   PENGUIN UK   Desroches-Nobl   OUT OF PRINT          BCK OP
9780140117752   150   PENGUIN   PENGUIN INDIA   Alter, S. & Dissanayke, W. (Ed.)   OUT OF PRINT          BCK OP
9780140117936   4.5   PENGUIN   PENGUIN UK   Davies, Robertson   OUT OF PRINT          BCK OP
9780140118124   6.99   PENGUIN   PENGUIN UK   Pavic, Milorad   OUT OF PRINT          BCK OP
9780140118131   7.99   PENGUIN   PENGUIN UK   Wells, D   OUT OF PRINT          BCK OP
9780140118605   4.99   PENGUIN   PENGUIN UK   Davies, Robertson   OUT OF PRINT          BCK OP
9780140118865   0   PENGUIN   PENGUIN INDIA   Desai, Anita   OUT OF PRINT          BCK OP
0140118861   4.5   PENGUIN   PENGUIN UK   Desai, Anita   NO RIGHTS             BCK NR
9780140119107   6.99   PENGUIN   PENGUIN UK   Morrison, Jim   OUT OF PRINT          BCK OP
9780140119282   4.99   PENGUIN   PENGUIN UK   Scher, D   OUT OF PRINT          BCK OP
9780140119817   5.6   PENGUIN CLASSICS   PENGUIN UK   Stephenson & P   OUT OF PRINT          BCK OP
9780140120837   5.6   PENGUIN   PENGUIN UK   Suskind, Patrick   OUT OF PRINT          BCK OP
9780140121100   3.25   PENGUIN   PENGUIN UK   Grant, John   OUT OF PRINT          BCK OP
9780140121117   3.25   PENGUIN   PENGUIN UK   Grant, John   OUT OF PRINT          BCK OP
9780140121124   3.25   PENGUIN   PENGUIN UK   Grant, John   OUT OF PRINT          BCK OP
0140121137   4.75   PENGUIN   PENGUIN USA      NOT AVL FOR BILLING   BCK NAB
9780140121339   6.3   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140121995   6.99   PENGUIN   PENGUIN UK   Updike, John   OUT OF PRINT          BCK OP
9780140122008   5.6   PENGUIN   PENGUIN UK   Hill, Susan   NO RIGHTS             BCK NR
9780140122381   5.6   PENGUIN   PENGUIN UK   Fleischer, L   OUT OF PRINT          BCK OP
9780140122558   4.99   PENGUIN   PENGUIN UK   Paulos, John   OUT OF PRINT          BCK OP
9780140122671   250   PENGUIN   PENGUIN INDIA   De, Shobhaa   OUT OF PRINT          BCK OP
9780140123081   200   PENGUIN   PENGUIN INDIA   Barkar, Pat   NO RIGHTS             BCK NR
0140123083   5.6   PENGUIN   PENGUIN UK   Barker, Pat   OUT OF PRINT          BCK OP
9780140123111   6.3   PENGUIN   PENGUIN UK   Spark, Muriel   NO RIGHTS             BCK NR
9780140123432   4.99   PENGUIN   PENGUIN UK   Proto, L   OUT OF PRINT          BCK OP
9780140123500   295   PENGUIN   PENGUIN INDIA   Hosain, Attia   OUT OF PRINT          BCK OP
9780140123524   125   PENGUIN   PENGUIN INDIA   Jayakar   OUT OF PRINT          BCK OP
9780140123821   6.3   PENGUIN   PENGUIN UK   Delillo, D   OUT OF PRINT          BCK OP
9780140124064   6.3   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140124071   4.99   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140124194   9   PENGUIN   PENGUIN USA   Lodge, David   NO RIGHTS             BCK NR
9780140124279   5.6   PENGUIN   PENGUIN UK   Sontag, Susan   OUT OF PRINT          BCK OP
9780140124477   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124484   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124491   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124514   4.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124521   2.25   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124538   4.2   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124545   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124552   2.99   PENGUIN   PENGUIN UK   Wodehouse, P G   NO RIGHTS             BCK NR
9780140124743   4.99   PENGUIN   PENGUIN UK   Foucault, Michel   OUT OF PRINT          BCK OP
9780140124798   8   PENGUIN   PENGUIN UK   Thompson, E P   OUT OF PRINT          BCK OP
9780140124804   9.1   PENGUIN   PENGUIN UK   Northrop, Frye   OUT OF PRINT          BCK OP
9780140124828   5.99   PENGUIN   PENGUIN UK   Ryle, G   OUT OF PRINT          BCK OP
9780140124910   10.5   PENGUIN   PENGUIN UK   Bondi, Christine   NO RIGHTS             BCK NR
9780140125085   5.6   PENGUIN   PENGUIN UK   Gunnar Anderson,Cars & Trudgill, Peter   OUT OF PRINT          BCK OP
9780140125283   5.99   PENGUIN   PENGUIN UK   Gould, Stephen   OUT OF PRINT          BCK OP
9780140125290   5.99   PENGUIN   PENGUIN UK   Joseph, George   NO RIGHTS             BCK NR
9780140125313   7.75   PENGUIN   PENGUIN UK   Coote, Stepen   OUT OF PRINT          BCK OP
9780140125320   6.99   PENGUIN   PENGUIN UK   Rose & Bullock   OUT OF PRINT          BCK OP
9780140125382   6.5   PENGUIN   PENGUIN UK   Mansfield, P   OUT OF PRINT          BCK OP
9780140125696   9.1   PENGUIN   PENGUIN UK   Rutter, M   OUT OF PRINT          BCK OP
9780140126693   6.99   PENGUIN   PENGUIN UK   Greer, Germaine   OUT OF PRINT          BCK OP
9780140126709   5.6   PENGUIN   PENGUIN UK   Orwell, George   OUT OF PRINT          BCK OP
9780140126716   5.6   PENGUIN   PENGUIN UK   Orwell, George   OUT OF PRINT          BCK OP
9780140126785   350   PENGUIN   PENGUIN UK   De Bono, Edward   OUT OF PRINT          BCK OP
9780140126792   4.99   PENGUIN   PENGUIN UK   De Bono, Edward   OUT OF PRINT          BCK OP
9780140126808   350   PENGUIN   PENGUIN UK   De Bono, Edward   OUT OF PRINT          BCK OP
9780140126822   10   PENGUIN   PENGUIN UK   Mabey, R   OUT OF PRINT          BCK OP
9780140126952   3.99   PENGUIN   PENGUIN UK   Mortimer, John   OUT OF PRINT          BCK OP
9780140127195   5.99   PENGUIN   PENGUIN UK   Amis, Martin   OUT OF PRINT          BCK OP
9780140127300   3.99   PENGUIN   PENGUIN UK   Barker, Pat   OUT OF PRINT          BCK OP
9780140127539   4   PENGUIN   PENGUIN UK   Thubron, Colin   OUT OF PRINT          BCK OP
9780140127928   11   PENGUIN   PENGUIN USA   Lynch, Peter   OUT OF PRINT          BCK OP
9780140128130   6.99   PENGUIN   PENGUIN UK   Cannadine , David   OUT OF PRINT          BCK OP
9780140128864   0   PENGUIN   PENGUIN INDIA   Moraes, Dom   NO RIGHTS             BCK NR
9780140129007   5   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140129120   3   PENGUIN   PENGUIN UK   Read, Miss   OUT OF PRINT          BCK OP
9780140129533   4.99   PENGUIN   PENGUIN UK   James, P D   OUT OF PRINT          BCK OP
9780140129540   4.99   PENGUIN   PENGUIN UK   James, P D   OUT OF PRINT          BCK OP
9780140129557   4.99   PENGUIN   PENGUIN UK   James, P D   OUT OF PRINT          BCK OP
